Class,Accuracy
Apple___Apple_scab,96.82539682539682
Apple___Black_rot,100.0
Apple___Cedar_apple_rust,96.36363636363636
Apple___healthy,97.26443768996961
Blueberry___healthy,99.66666666666667
Cherry_(including_sour)___Powdery_mildew,99.52380952380952
Cherry_(including_sour)___healthy,98.82352941176471
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,80.58252427184466
Corn_(maize)___Common_rust_,98.74476987447699
Corn_(maize)___Northern_Leaf_Blight,92.38578680203045
Corn_(maize)___healthy,100.0
Grape___Black_rot,93.22033898305084
Grape___Esca_(Black_Measles),97.82608695652173
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),97.67441860465115
Grape___healthy,98.80952380952381
Orange___Haunglongbing_(Citrus_greening),99.72776769509983
Peach___Bacterial_spot,98.0392156862745
Peach___healthy,98.61111111111111
"Pepper,_bell___Bacterial_spot",99.0
"Pepper,_bell___healthy",99.32203389830508
Potato___Early_blight,99.5
Potato___Late_blight,97.0
Potato___healthy,90.32258064516128
Raspberry___healthy,100.0
Soybean___healthy,99.70530451866405
Squash___Powdery_mildew,99.72752043596729
Strawberry___Leaf_scorch,99.54954954954955
Strawberry___healthy,100.0
Tomato___Bacterial_spot,95.52941176470588
Tomato___Early_blight,88.5
Tomato___Late_blight,91.8848167539267
Tomato___Leaf_Mold,91.09947643979058
Tomato___Septoria_leaf_spot,89.54802259887006
Tomato___Spider_mites Two-spotted_spider_mite,95.52238805970148
Tomato___Target_Spot,83.27402135231317
Tomato___Tomato_Yellow_Leaf_Curl_Virus,98.59943977591037
Tomato___Tomato_mosaic_virus,100.0
Tomato___healthy,99.05660377358491
